Country Code,Country Name,Region,Income Group,Region_Group
ABW,Aruba,Latin America & Caribbean,High income,Rest of World
AFG,Afghanistan,Middle East & North Africa,Low income,Rest of World
AGO,Angola,Sub-Saharan Africa,Lower middle income,Africa
ALB,Albania,Europe & Central Asia,Upper middle income,Rest of World
AND,Andorra,Europe & Central Asia,High income,Rest of World
ARE,United Arab Emirates,Middle East & North Africa,High income,Rest of World
ARG,Argentina,Latin America & Caribbean,Upper middle income,Rest of World
ARM,Armenia,Europe & Central Asia,Upper middle income,Rest of World
ASM,American Samoa,East Asia & Pacific,High income,Rest of World
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,Rest of World
AUS,Australia,East Asia & Pacific,High income,Rest of World
AUT,Austria,Europe & Central Asia,High income,Rest of World
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Rest of World
BDI,Burundi,Sub-Saharan Africa,Low income,Africa
BEL,Belgium,Europe & Central Asia,High income,Rest of World
BEN,Benin,Sub-Saharan Africa,Lower middle income,Africa
BFA,Burkina Faso,Sub-Saharan Africa,Low income,Africa
BGD,Bangladesh,South Asia,Lower middle income,Rest of World
BGR,Bulgaria,Europe & Central Asia,High income,Rest of World
BHR,Bahrain,Middle East & North Africa,High income,Rest of World
BHS,"Bahamas, The",Latin America & Caribbean,High income,Rest of World
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Rest of World
BLR,Belarus,Europe & Central Asia,Upper middle income,Rest of World
BLZ,Belize,Latin America & Caribbean,Upper middle income,Rest of World
BMU,Bermuda,North America,High income,Rest of World
BOL,"Bolivia, Plurinational State of",Latin America & Caribbean,Lower middle income,Rest of World
BRA,Brazil,Latin America & Caribbean,Upper middle income,Rest of World
BRB,Barbados,Latin America & Caribbean,High income,Rest of World
BRN,Brunei Darussalam,East Asia & Pacific,High income,Rest of World
BTN,Bhutan,South Asia,Lower middle income,Rest of World
BWA,Botswana,Sub-Saharan Africa,Upper middle income,Africa
CAF,Central African Republic,Sub-Saharan Africa,Low income,Africa
CAN,Canada,North America,High income,Rest of World
CHE,Switzerland,Europe & Central Asia,High income,Rest of World
CHI,Channel Islands,Europe & Central Asia,High income,Rest of World
CHL,Chile,Latin America & Caribbean,High income,Rest of World
CHN,China,East Asia & Pacific,Upper middle income,Rest of World
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,Africa
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Africa
COD,"Congo, Democratic Republic of",Sub-Saharan Africa,Low income,Africa
COG,"Congo, Republic of",Sub-Saharan Africa,Lower middle income,Africa
COL,Colombia,Latin America & Caribbean,Upper middle income,Rest of World
COM,Comoros,Sub-Saharan Africa,Lower middle income,Africa
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,Africa
CRI,Costa Rica,Latin America & Caribbean,High income,Rest of World
CUB,Cuba,Latin America & Caribbean,Upper middle income,Rest of World
CUW,Curaçao,Latin America & Caribbean,High income,Rest of World
CYM,Cayman Islands,Latin America & Caribbean,High income,Rest of World
CYP,Cyprus,Europe & Central Asia,High income,Rest of World
CZE,Czechia,Europe & Central Asia,High income,Rest of World
DEU,Germany,Europe & Central Asia,High income,Rest of World
DJI,Djibouti,Middle East & North Africa,Lower middle income,Rest of World
DMA,Dominica,Latin America & Caribbean,Upper middle income,Rest of World
DNK,Denmark,Europe & Central Asia,High income,Rest of World
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Rest of World
DZA,Algeria,Middle East & North Africa,Upper middle income,Rest of World
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Rest of World
EGY,"Egypt, Arab Republic of",Middle East & North Africa,Lower middle income,Rest of World
ERI,Eritrea,Sub-Saharan Africa,Low income,Africa
ESP,Spain,Europe & Central Asia,High income,Rest of World
EST,Estonia,Europe & Central Asia,High income,Rest of World
ETH,Ethiopia,Sub-Saharan Africa,Low income,Africa
FIN,Finland,Europe & Central Asia,High income,Rest of World
FJI,Fiji,East Asia & Pacific,Upper middle income,Rest of World
FRA,France,Europe & Central Asia,High income,Rest of World
FRO,Faroe Islands,Europe & Central Asia,High income,Rest of World
FSM,"Micronesia, Federated States of",East Asia & Pacific,Upper middle income,Rest of World
GAB,Gabon,Sub-Saharan Africa,Upper middle income,Africa
GBR,United Kingdom,Europe & Central Asia,High income,Rest of World
GEO,Georgia,Europe & Central Asia,Upper middle income,Rest of World
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Africa
GIB,Gibraltar,Europe & Central Asia,High income,Rest of World
GIN,Guinea,Sub-Saharan Africa,Lower middle income,Africa
GMB,"Gambia, The",Sub-Saharan Africa,Low income,Africa
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,Africa
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Africa
GRC,Greece,Europe & Central Asia,High income,Rest of World
GRD,Grenada,Latin America & Caribbean,Upper middle income,Rest of World
GRL,Greenland,Europe & Central Asia,High income,Rest of World
GTM,Guatemala,Latin America & Caribbean,Upper middle income,Rest of World
GUM,Guam,East Asia & Pacific,High income,Rest of World
GUY,Guyana,Latin America & Caribbean,High income,Rest of World
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Rest of World
HND,Honduras,Latin America & Caribbean,Lower middle income,Rest of World
HRV,Croatia,Europe & Central Asia,High income,Rest of World
HTI,Haiti,Latin America & Caribbean,Lower middle income,Rest of World
HUN,Hungary,Europe & Central Asia,High income,Rest of World
IDN,Indonesia,East Asia & Pacific,Upper middle income,Rest of World
IMN,Isle of Man,Europe & Central Asia,High income,Rest of World
IND,India,South Asia,Lower middle income,Rest of World
IRL,Ireland,Europe & Central Asia,High income,Rest of World
IRN,"Iran, Islamic Republic of",Middle East & North Africa,Upper middle income,Rest of World
IRQ,Iraq,Middle East & North Africa,Upper middle income,Rest of World
ISL,Iceland,Europe & Central Asia,High income,Rest of World
ISR,Israel,Middle East & North Africa,High income,Rest of World
ITA,Italy,Europe & Central Asia,High income,Rest of World
JAM,Jamaica,Latin America & Caribbean,Upper middle income,Rest of World
JOR,Jordan,Middle East & North Africa,Upper middle income,Rest of World
JPN,Japan,East Asia & Pacific,High income,Rest of World
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,Rest of World
KEN,Kenya,Sub-Saharan Africa,Lower middle income,Africa
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,Rest of World
KHM,Cambodia,East Asia & Pacific,Lower middle income,Rest of World
KIR,Kiribati,East Asia & Pacific,Lower middle income,Rest of World
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,Rest of World
KOR,Korea,East Asia & Pacific,High income,Rest of World
KWT,Kuwait,Middle East & North Africa,High income,Rest of World
LAO,Lao PDR,East Asia & Pacific,Lower middle income,Rest of World
LBN,Lebanon,Middle East & North Africa,Lower middle income,Rest of World
LBR,Liberia,Sub-Saharan Africa,Low income,Africa
LBY,Libya,Middle East & North Africa,Upper middle income,Rest of World
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,Rest of World
LIE,Liechtenstein,Europe & Central Asia,High income,Rest of World
LKA,Sri Lanka,South Asia,Upper middle income,Rest of World
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,Africa
LTU,Lithuania,Europe & Central Asia,High income,Rest of World
LUX,Luxembourg,Europe & Central Asia,High income,Rest of World
LVA,Latvia,Europe & Central Asia,High income,Rest of World
MAC,"Macao SAR, China",East Asia & Pacific,High income,Rest of World
MAF,St. Martin (French part),Latin America & Caribbean,High income,Rest of World
MAR,Morocco,Middle East & North Africa,Lower middle income,Rest of World
MCO,Monaco,Europe & Central Asia,High income,Rest of World
MDA,Moldova,Europe & Central Asia,Upper middle income,Rest of World
MDG,Madagascar,Sub-Saharan Africa,Low income,Africa
MDV,Maldives,South Asia,Upper middle income,Rest of World
MEX,Mexico,Latin America & Caribbean,Upper middle income,Rest of World
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,Rest of World
MKD,North Macedonia,Europe & Central Asia,Upper middle income,Rest of World
MLI,Mali,Sub-Saharan Africa,Low income,Africa
MLT,Malta,Middle East & North Africa,High income,Rest of World
MMR,Myanmar,East Asia & Pacific,Lower middle income,Rest of World
MNE,Montenegro,Europe & Central Asia,Upper middle income,Rest of World
MNG,Mongolia,East Asia & Pacific,Upper middle income,Rest of World
MNP,Northern Mariana Islands,East Asia & Pacific,High income,Rest of World
MOZ,Mozambique,Sub-Saharan Africa,Low income,Africa
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,Africa
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,Africa
MWI,Malawi,Sub-Saharan Africa,Low income,Africa
MYS,Malaysia,East Asia & Pacific,Upper middle income,Rest of World
NAM,Namibia,Sub-Saharan Africa,Lower middle income,Africa
NCL,New Caledonia,East Asia & Pacific,High income,Rest of World
NER,Niger,Sub-Saharan Africa,Low income,Africa
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Africa
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,Rest of World
NLD,Netherlands,Europe & Central Asia,High income,Rest of World
NOR,Norway,Europe & Central Asia,High income,Rest of World
NPL,Nepal,South Asia,Lower middle income,Rest of World
